hour,day,month,distance,surge_multiplier,temperature,apparenttemperature,precipintensity,precipprobability,humidity,windspeed,windgust,visibility,temperaturehigh,temperaturelow,apparenttemperaturehigh,apparenttemperaturelow,dewpoint,pressure,windbearing,cloudcover,uvindex,ozone,moonphase,precipintensitymax,temperaturemin,temperaturemax,apparenttemperaturemin,apparenttemperaturemax,source_back_bay,source_beacon_hill,source_boston_university,source_fenway,source_financial_district,source_haymarket_square,source_north_end,source_north_station,source_northeastern_university,source_south_station,source_theatre_district,source_west_end,destination_back_bay,destination_beacon_hill,destination_boston_university,destination_fenway,destination_financial_district,destination_haymarket_square,destination_north_end,destination_north_station,destination_northeastern_university,destination_south_station,destination_theatre_district,destination_west_end,cab_type_lyft,cab_type_uber,name_black,name_black_suv,name_lux,name_lux_black,name_lux_black_xl,name_lyft,name_lyft_xl,name_shared,name_uberpool,name_uberx,name_uberxl,name_wav,weather_clear,weather_drizzle,weather_foggy,weather_light_rain,weather_mostly_cloudy,weather_overcast,weather_partly_cloudy,weather_possible_drizzle,weather_rain,predicted_price,predicted_price_per_mile
6,2,11,1.89,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.285423183609042,4.912922319369864
17,2,11,1.89,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.267648219366597,4.903517576384443
17,2,11,1.89,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.331463745978667,4.937282405279718
6,2,11,2.27,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.849253983408376,4.338878406787831
6,2,11,2.27,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.913069510020444,4.366990973577288
17,2,11,2.27,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.853422013281724,4.340714543295913
17,2,11,2.27,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.917237539893794,4.3688271100853715
6,2,11,2.32,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.673863253882336,4.1697686439148
6,2,11,2.32,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.737678780494408,4.197275336420003
17,2,11,2.32,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.677857346611876,4.171490235608568
