,Unnamed: 0,Source,Destination,Q,hour,day,weather,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
131,131,West End,Theatre District,23.533085596795832,6,1,Clear,42.365,-71.064,42.352,-71.064
132,132,Back Bay,West End,21.779543490488187,6,1,Clear,42.35,-71.08,42.365,-71.064
133,133,Beacon Hill,West End,21.64084015071561,6,1,Clear,42.356,-71.069,42.365,-71.064
134,134,Boston University,West End,21.2722096166026,6,1,Clear,42.351,-71.105,42.365,-71.064
135,135,Fenway,West End,23.070750313080687,6,1,Clear,42.347,-71.092,42.365,-71.064
136,136,Financial District,West End,23.590119348995778,6,1,Clear,42.356,-71.055,42.365,-71.064
137,137,Haymarket Square,West End,25.48045167374813,6,1,Clear,42.364,-71.059,42.365,-71.064
138,138,North End,West End,23.67092430518488,6,1,Clear,42.365,-71.056,42.365,-71.064
139,139,North Station,West End,22.950806724864705,6,1,Clear,42.366,-71.062,42.365,-71.064
140,140,Northeastern University,West End,22.820141272821505,6,1,Clear,42.34,-71.09,42.365,-71.064
141,141,South Station,West End,23.01290980051514,6,1,Clear,42.352,-71.055,42.365,-71.064
142,142,Theatre District,West End,24.58908315991409,6,1,Clear,42.352,-71.064,42.365,-71.064
143,143,West End,West End,23.53185631141429,6,1,Clear,42.365,-71.064,42.365,-71.064
144,144,Back Bay,Back Bay,0.0,6,1,Rain,42.35,-71.08,42.35,-71.08
145,145,Beacon Hill,Back Bay,21.84382196766908,6,1,Rain,42.356,-71.069,42.35,-71.08
146,146,Boston University,Back Bay,21.45855764713862,6,1,Rain,42.351,-71.105,42.35,-71.08
147,147,Fenway,Back Bay,23.275328639211807,6,1,Rain,42.347,-71.092,42.35,-71.08
148,148,Financial District,Back Bay,23.30197421919088,6,1,Rain,42.356,-71.055,42.35,-71.08
149,149,Haymarket Square,Back Bay,24.832729236822345,6,1,Rain,42.364,-71.059,42.35,-71.08
150,150,North End,Back Bay,23.854714420769177,6,1,Rain,42.365,-71.056,42.35,-71.08
151,151,North Station,Back Bay,23.23234023079304,6,1,Rain,42.366,-71.062,42.35,-71.08
152,152,Northeastern University,Back Bay,23.007519862122283,6,1,Rain,42.34,-71.09,42.35,-71.08
153,153,South Station,Back Bay,22.850134142452514,6,1,Rain,42.352,-71.055,42.35,-71.08
154,154,Theatre District,Back Bay,24.78715481528868,6,1,Rain,42.352,-71.064,42.35,-71.08
155,155,West End,Back Bay,23.75116294451684,6,1,Rain,42.365,-71.064,42.35,-71.08
156,156,Back Bay,Beacon Hill,21.94469858132072,6,1,Rain,42.35,-71.08,42.356,-71.069
157,157,Beacon Hill,Beacon Hill,0.0,6,1,Rain,42.356,-71.069,42.356,-71.069
158,158,Boston University,Beacon Hill,21.458144012088603,6,1,Rain,42.351,-71.105,42.356,-71.069
159,159,Fenway,Beacon Hill,23.26855225899149,6,1,Rain,42.347,-71.092,42.356,-71.069
160,160,Financial District,Beacon Hill,23.31185922003657,6,1,Rain,42.356,-71.055,42.356,-71.069
161,161,Haymarket Square,Beacon Hill,24.923112134924526,6,1,Rain,42.364,-71.059,42.356,-71.069
162,162,North End,Beacon Hill,23.86298407919318,6,1,Rain,42.365,-71.056,42.356,-71.069
163,163,North Station,Beacon Hill,23.107095640939665,6,1,Rain,42.366,-71.062,42.356,-71.069
164,164,Northeastern University,Beacon Hill,23.00973662660784,6,1,Rain,42.34,-71.09,42.356,-71.069
165,165,South Station,Beacon Hill,22.70127391262993,6,1,Rain,42.352,-71.055,42.356,-71.069
166,166,Theatre District,Beacon Hill,24.7893324751166,6,1,Rain,42.352,-71.064,42.356,-71.069
167,167,West End,Beacon Hill,23.748100049040307,6,1,Rain,42.365,-71.064,42.356,-71.069
168,168,Back Bay,Boston University,21.95192083468984,6,1,Rain,42.35,-71.08,42.351,-71.105
169,169,Beacon Hill,Boston University,21.845599594681023,6,1,Rain,42.356,-71.069,42.351,-71.105
170,170,Boston University,Boston University,0.0,6,1,Rain,42.351,-71.105,42.351,-71.105
171,171,Fenway,Boston University,23.268354140284234,6,1,Rain,42.347,-71.092,42.351,-71.105
172,172,Financial District,Boston University,24.407114247705536,6,1,Rain,42.356,-71.055,42.351,-71.105
173,173,Haymarket Square,Boston University,24.05979774350982,6,1,Rain,42.364,-71.059,42.351,-71.105
174,174,North End,Boston University,23.85225453726106,6,1,Rain,42.365,-71.056,42.351,-71.105
175,175,North Station,Boston University,23.61721216518017,6,1,Rain,42.366,-71.062,42.351,-71.105
176,176,Northeastern University,Boston University,23.006973469076858,6,1,Rain,42.34,-71.09,42.351,-71.105
177,177,South Station,Boston University,21.465247229837736,6,1,Rain,42.352,-71.055,42.351,-71.105
178,178,Theatre District,Boston University,24.79264425845824,6,1,Rain,42.352,-71.064,42.351,-71.105
179,179,West End,Boston University,23.75043352131146,6,1,Rain,42.365,-71.064,42.351,-71.105
