Source,Destination,Q,hour,weather,day,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
North Station,Haymarket Square,24.649621003974172,6,Clear,2,42.3664,-71.062,42.3638,-71.0585
Northeastern University,Haymarket Square,0.0,6,Clear,2,42.3399,-71.0899,42.3638,-71.0585
South Station,Haymarket Square,0.0,6,Clear,2,42.3519,-71.0552,42.3638,-71.0585
Theatre District,Haymarket Square,11.304799184541777,6,Clear,2,42.3519,-71.0643,42.3638,-71.0585
West End,Haymarket Square,22.271363333875943,6,Clear,2,42.3652,-71.0641,42.3638,-71.0585
Back Bay,North End,10.945297903204526,6,Clear,2,42.3495,-71.0795,42.3652,-71.0555
Beacon Hill,North End,10.66114271109198,6,Clear,2,42.3562,-71.0694,42.3652,-71.0555
Boston University,North End,0.0,6,Clear,2,42.3505,-71.1054,42.3652,-71.0555
Fenway,North End,0.0,6,Clear,2,42.3468,-71.0923,42.3652,-71.0555
Financial District,North End,14.685864551759764,6,Clear,2,42.3559,-71.055,42.3652,-71.0555
Haymarket Square,North End,0.0,6,Clear,2,42.3638,-71.0585,42.3652,-71.0555
North End,North End,0.0,6,Clear,2,42.3652,-71.0555,42.3652,-71.0555
North Station,North End,13.846190335040783,6,Clear,2,42.3664,-71.062,42.3652,-71.0555
Northeastern University,North End,0.0,6,Clear,2,42.3399,-71.0899,42.3652,-71.0555
South Station,North End,0.0,6,Clear,2,42.3519,-71.0552,42.3652,-71.0555
Theatre District,North End,10.702446580098895,6,Clear,2,42.3519,-71.0643,42.3652,-71.0555
West End,North End,11.146406605958843,6,Clear,2,42.3652,-71.0641,42.3652,-71.0555
Back Bay,North Station,0.0,6,Clear,2,42.3495,-71.0795,42.3664,-71.062
Beacon Hill,North Station,0.0,6,Clear,2,42.3562,-71.0694,42.3664,-71.062
Boston University,North Station,10.636635250187267,6,Clear,2,42.3505,-71.1054,42.3664,-71.062
Fenway,North Station,10.682526943393588,6,Clear,2,42.3468,-71.0923,42.3664,-71.062
Financial District,North Station,0.0,6,Clear,2,42.3559,-71.055,42.3664,-71.062
Haymarket Square,North Station,25.793659116068493,6,Clear,2,42.3638,-71.0585,42.3664,-71.062
North End,North Station,11.745154667823043,6,Clear,2,42.3652,-71.0555,42.3664,-71.062
North Station,North Station,0.0,6,Clear,2,42.3664,-71.062,42.3664,-71.062
Northeastern University,North Station,11.787348198201308,6,Clear,2,42.3399,-71.0899,42.3664,-71.062
South Station,North Station,14.801481721122252,6,Clear,2,42.3519,-71.0552,42.3664,-71.062
Theatre District,North Station,0.0,6,Clear,2,42.3519,-71.0643,42.3664,-71.062
West End,North Station,0.0,6,Clear,2,42.3652,-71.0641,42.3664,-71.062
Back Bay,Northeastern University,15.513028819682102,6,Clear,2,42.3495,-71.0795,42.3399,-71.0899
